--- Analyzing Designations by Continent (Percentages) ---

  Designation: A.1.NmC1, Percentage: 12.93%
  Designation: B.1.17.NmC3, Percentage: 9.91%
  Designation: B.1.1, Percentage: 8.62%
  Designation: B.1.13, Percentage: 8.62%
  Designation: B.1.4, Percentage: 8.62%
  Designation: B.1, Percentage: 6.03%
  Designation: B.1.13.NmC2, Percentage: 5.17%
  Designation: A.1.NmC3, Percentage: 1.72%
  Designation: B.1.13.NmC3, Percentage: 1.29%
  Designation: B.1.13.NmC1, Percentage: 0.86%
  Designation: B.1.17.NmC2, Percentage: 0.86%
  Designation: B.1.17.NmC5, Percentage: 0.86%
  Designation: B.1.12.NmC2, Percentage: 0.43%
  Designation: B.1.17.NmC1, Percentage: 0.43%
  Designation: B.1.8, Percentage: 0.43%
  Designation: B.1.NmC1, Percentage: 0.43%
  Designation: B.1.NmC4, Percentage: 0.43%

Country:  China (Total observed designations in this group: 41)
  Designation: C.1.1, Percentage: 97.56%
  Designation: E.2, Percentage: 2.44%

Country:  Colombia (Total observed designations in this group: 221)
  Designation: B.1.10, Percentage: 42.99%
  Designation: B.1.16, Percentage: 11.31%
  Designation: B.1.13.NmC1, Percentage: 9.50%
  Designation: B.1.15, Percentage: 7.24%
  Designation: B.1.13, Percentage: 5.88%
  Designation: B.1.11.NmC1, Percentage: 5.43%
  Designation: B.1.11, Percentage: 4.98%
  Designation: B.1.NmC4, Percentage: 4.52%
  Designation: B.1.6, Percentage: 3.17%
  Designation: B.1.8, Percentage: 2.26%
  Designation: B.1.2.NmC4, Percentage: 0.90%
  Designation: B.1.12, Percentage: 0.45%
  Designation: B.1.13.NmC2, Percentage: 0.45%
  Designation: B.1.17.NmC3, Percentage: 0.45%
  Designation: B.1.2.NmC2, Percentage: 0.45%

Country:  Czech Republic (Total observed designations in this group: 2)
  Designation: B.1.NmC4, Percentage: 50.00%
  Designation: B.1.NmC9, Percentage: 50.00%

Country:  Egypt (Total observed designations in this group: 1)
  Designation: A, Percentage: 100.00%

Country:  Finland (Total observed designations in this group: 3)
  Designation: B.1.10, Percentage: 33.33%
  Designation: B.1.3, Percentage: 33.33%
  Designation: B.1.NmC4, Percentage: 33.33%

Country:  France (Total observed designations in this group: 28)
  Designation: B.1.13.NmC1, Percentage: 17.86%
  Designation: B.1.13.NmC2, Percentage: 17.86%
  Designation: B.1.13, Percentage: 7.14%
  Designation: B.1.13.NmC3, Percentage: 7.14%
  Designation: B.1.14, Percentage: 7.14%
  Designation: B.1.6, Percentage: 7.14%
  Designation: A.1.NmC3, Percentage: 3.57%
  Designation: B.1.1, Percentage: 3.57%
  Designation: B.1.10, Percentage: 3.57%
  Designation: B.1.12, Percentage: 3.57%
  Designation: B.1.17.NmC6, Percentage: 3.57%
  Designation: B.1.19, Percentage: 3.57%
  Designation: B.1.3.NmC1, Percentage: 3.57%
  Designation: B.1.NmC1, Percentage: 3.57%
  Designation: B.1.NmC4, Percentage: 3.57%
  Designation: C.1.1, Percentage: 3.57%

Country:  Germany (Total observed designations in this group: 1374)
  Designation: B.1.NmC5, Percentage: 18.34%
  Designation: B.1.NmC3, Percentage: 18.12%
  Designation: B.1.1, Percentage: 10.99%
  Designation: B.1.NmC6, Percentage: 8.01%
  Designation: E.1, Percentage: 4.80%
  Designation: F.4, Percentage: 4.59%
  Designation: B.1.NmC8, Percentage: 4.00%
  Designation: B.1.NmC4, Percentage: 3.28%
  Designation: C.1, Percentage: 2.77%
  Designation: B.1.22, Percentage: 2.55%
  Designation: F.2, Percentage: 2.11%
  Designation: B.1.2, Percentage: 1.97%
  Designation: B.1, Percentage: 1.89%
  Designation: B.1.3, Percentage: 1.82%
  Designation: E.2, Percentage: 1.67%
  Designation: D.1, Percentage: 1.60%
  Designation: B.1.14, Percentage: 1.53%
  Designation: B.1.5, Percentage: 1.38%
  Designation: B.1.13.NmC3, Percentage: 1.24%
  Designation: B.1.23, Percentage: 0.80%
  Designation: E.3, Percentage: 0.73%
  Designation: F.5, Percentage: 0.66%
  Designation: A.1.NmC1, Percentage: 0.58%
  Designation: B.1.7, Percentage: 0.58%
  Designation: C.1.1.NmC1, Percentage: 0.58%
  Designation: F.1.NmC1, Percentage: 0.44%
  Designation: B.1.22.NmC1, Percentage: 0.29%
  Designation: A.2.1, Percentage: 0.22%
  Designation: B.1.13, Percentage: 0.22%
  Designation: B.1.13.NmC1, Percentage: 0.22%
  Designation: B.1.20, Percentage: 0.22%
  Designation: B.1.8, Percentage: 0.22%
  Designation: C.1.1, Percentage: 0.22%
  Designation: A, Percentage: 0.15%
  Designation: A.2.2, Percentage: 0.15%
