--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.D.E.3.NmC2, Percentage: 1.90%
  Designation: B.D.4.NmC3, Percentage: 1.27%
  Designation: B.D.E.3.NmC3, Percentage: 1.27%
  Designation: B.3, Percentage: 0.63%
  Designation: B.D.2.NmC3, Percentage: 0.63%
  Designation: B.D.3, Percentage: 0.63%
  Designation: B.D.4.1.2, Percentage: 0.63%
  Designation: B.D.4.1.3.NmC2, Percentage: 0.63%
  Designation: B.D.E.2, Percentage: 0.63%

Country:  Indonesia (Total observed designations in this group: 3)
  Designation: B.D.1.NmC1, Percentage: 100.00%

Country:  Iran (Total observed designations in this group: 15)
  Designation: B.D.2, Percentage: 53.33%
  Designation: B.D.3.NmC1, Percentage: 26.67%
  Designation: B.D.2.NmC1, Percentage: 6.67%
  Designation: B.D.E.2, Percentage: 6.67%
  Designation: B.D.NmC3, Percentage: 6.67%

Country:  Iraq (Total observed designations in this group: 29)
  Designation: B.D.E.3.NmC1, Percentage: 41.38%
  Designation: B.D.4.1.1.NmC1, Percentage: 37.93%
  Designation: B.D.4.1.1.NmC3, Percentage: 13.79%
  Designation: B.D.3, Percentage: 3.45%
  Designation: B.D.E.3.NmC2, Percentage: 3.45%

Country:  Ireland (Total observed designations in this group: 207)
  Designation: B.D.E.3.NmC1, Percentage: 47.83%
  Designation: B.D.E.1, Percentage: 24.15%
  Designation: B.D.E.3.NmC3, Percentage: 18.36%
  Designation: B.D.E.1.2, Percentage: 2.90%
  Designation: B.D.E.6, Percentage: 2.90%
  Designation: B.D.E.1.1, Percentage: 1.45%
  Designation: B.D.E.7, Percentage: 0.97%
  Designation: B.D.E.1.7, Percentage: 0.48%
  Designation: B.D.E.4, Percentage: 0.48%
  Designation: B.D.NmC4, Percentage: 0.48%

Country:  Italy (Total observed designations in this group: 90)
  Designation: B.D.E.2.NmC1, Percentage: 26.67%
  Designation: B.D.4, Percentage: 20.00%
  Designation: B.D.E.2, Percentage: 17.78%
  Designation: B.D.2, Percentage: 10.00%
  Designation: B.D.4.NmC2, Percentage: 8.89%
  Designation: B.D.E.3.NmC2, Percentage: 7.78%
  Designation: B.D.E.3.NmC1, Percentage: 3.33%
  Designation: B.D.4.1.1.NmC1, Percentage: 2.22%
  Designation: B.D.E.4, Percentage: 2.22%
  Designation: B.D.2.NmC1, Percentage: 1.11%

Country:  Japan (Total observed designations in this group: 539)
  Designation: B.D.E.4, Percentage: 30.61%
  Designation: B.D.4.1.1, Percentage: 13.73%
  Designation: B.D.E.2, Percentage: 12.43%
  Designation: B.D.4, Percentage: 6.68%
  Designation: B.D.4.NmC4, Percentage: 6.12%
  Designation: B.D.2, Percentage: 5.75%
  Designation: B.D.1.NmC1, Percentage: 5.19%
  Designation: B.D.4.NmC1, Percentage: 4.82%
